시간,시스템 CPU 사용률 (%),프로세스 메모리 사용량 (MB),Current Thread 수,호출 건수,TPS,동시 사용자,ERROR 수,SQL 수,최대 TPS,프로세스 CPU사용률 (%)
8/28/2017 01:12,19.21,1365,66.26,3136,52.26,104,333,53817,69,18.2
8/28/2017 01:13,17.41,1280,62.11,3054,50.9,136,295,37405,58.79,16.44
8/28/2017 01:14,17.3,1198,59.08,2904,48.4,117,268,35536,62.2,16.41
8/28/2017 01:15,18.1,1102,53.5,2975,49.58,125,290,51149,56.79,17.07
8/28/2017 01:16,18.37,1032,49.16,3052,50.86,114,267,37621,63.4,17.18
8/28/2017 01:17,18.18,1560,79.08,2955,49.25,112,334,40166,60.79,17.3
8/28/2017 01:18,17.54,1547,76.86,2890,48.16,141,321,49260,58.59,16.67
8/28/2017 01:19,18.23,1203,57.83,3061,51.01,111,337,38619,63.79,17.23
8/28/2017 01:20,17.68,2336,120,2665,44.41,119,356,37502,70.4,16.3
8/28/2017 01:21,16.89,2112,105,2756,45.93,113,368,48003,56.4,16.36
8/28/2017 01:22,13.63,2516,129,2360,39.33,122,250,26942,62.79,12.29
8/28/2017 01:23,16.12,2010,98.47,2773,46.21,110,292,34155,57.2,15.71
8/28/2017 01:24,18.5,1342,64.36,3176,52.93,109,289,50090,62.59,17.32
8/28/2017 01:25,20.14,1449,70.4,3167,52.78,144,286,41192,73.59,19.28
8/28/2017 01:26,15.52,1261,60.96,2555,42.58,135,266,33342,57,14.55
8/28/2017 01:27,17.03,1072,52.43,2876,47.93,94.24,214,48150,64.4,15.95
8/28/2017 01:28,15.75,941,45.63,2785,46.41,111,182,32843,60.59,14.82
8/28/2017 01:29,18.97,1233,61.43,3226,53.76,133,245,39268,75,18.04
8/28/2017 01:30,16.27,1319,65.13,2750,45.83,106,192,44235,62,15.19
8/28/2017 01:31,18.09,1139,55.4,3165,52.75,121,234,36796,69.8,17.14
8/28/2017 01:32,18.07,1247,61,3267,54.45,99.37,202,35361,72.19,17.09
8/28/2017 01:33,17.14,1298,62.9,2864,47.73,105,262,48282,66.59,16.41
8/28/2017 01:34,14.58,980,46.9,2375,39.58,121,226,31722,50,13.73
8/28/2017 01:35,15.16,1194,58.79,2466,41.09,112,233,33902,52.59,14.15
8/28/2017 01:36,12.06,1223,58.56,2046,34.09,113,177,38582,52,11.38
8/28/2017 01:37,13.66,1088,51.56,2279,37.97,114,232,29163,55.59,13
